/N0/D (L=1) X,/N0/D (L=1) Y,/N0/D (L=2) X,/N0/D (L=2) Y,/N0/D (L=5) X,/N0/D (L=5) Y,/N0/D (L=10) X,/N0/D (L=10) Y,/N0/D (L=25) X,/N0/D (L=25) Y,/N0/D (L=50) X,/N0/D (L=50) Y
3.000000000000001,1.523593768571041e-05,3.000000000000001,1.678237608047039e-05,3.000000000000001,1.829197548758528e-05,3.000000000000001,1.893207095855457e-05,3.000000000000001,1.938267622663309e-05,3.000000000000001,1.952074143224865e-05
3.100000000000001,1.527041687823739e-05,3.100000000000001,1.68096245756902e-05,3.100000000000001,1.830765967450272e-05,3.100000000000001,1.894286069563508e-05,3.100000000000001,1.939058372361982e-05,3.100000000000001,1.952658091495007e-05
3.200000000000002,1.530485241424803e-05,3.200000000000002,1.683684916304214e-05,3.200000000000002,1.832332961292815e-05,3.200000000000002,1.895364206271267e-05,3.200000000000002,1.939848740057755e-05,3.200000000000002,1.953241772415834e-05
3.300000000000002,1.533925193263047e-05,3.300000000000002,1.686405418731358e-05,3.300000000000002,1.83389872120178e-05,3.300000000000002,1.896441603889654e-05,3.300000000000002,1.940638772340852e-05,3.300000000000002,1.953825220993961e-05
3.400000000000002,1.537362209429363e-05,3.400000000000002,1.689124342861427e-05,3.400000000000002,1.835463412464863e-05,3.400000000000002,1.89751834659678e-05,3.400000000000002,1.941428508677991e-05,3.400000000000002,1.954408466612972e-05
3.500000000000002,1.54079687337845e-05,3.500000000000002,1.691842019127258e-05,3.500000000000002,1.837027178904366e-05,3.500000000000002,1.898594507159518e-05,3.500000000000002,1.942217982704485e-05,3.500000000000002,1.954991534090598e-05
3.600000000000002,1.544229698354196e-05,3.600000000000002,1.69455873764441e-05,3.600000000000002,1.838590146253711e-05,3.600000000000002,1.899670148800312e-05,3.600000000000002,1.943007223247956e-05,3.600000000000002,1.955574444510228e-05
3.700000000000002,1.547661137638153e-05,3.700000000000002,1.697274754181237e-05,3.700000000000002,1.840152424915818e-05,3.700000000000002,1.900745326709706e-05,3.700000000000002,1.943796255145942e-05,3.700000000000002,1.956157215880272e-05
3.800000000000002,1.551091593053488e-05,3.800000000000002,1.699990295098261e-05,3.800000000000002,1.84171411223153e-05,3.800000000000002,1.901820089280504e-05,3.800000000000002,1.944585099903895e-05,3.800000000000002,1.956739863661062e-05
3.900000000000002,1.55452142206138e-05,3.900000000000002,1.702705561458709e-05,3.900000000000002,1.843275294356707e-05,3.900000000000002,1.902894479121482e-05,3.900000000000002,1.945373776228443e-05,3.900000000000002,1.957322401188863e-05
4.000000000000002,1.557950943714411e-05,4.000000000000002,1.705420732468128e-05,4.000000000000002,1.844836047824579e-05,4.000000000000002,1.903968533895201e-05,4.000000000000002,1.946162300462449e-05,4.000000000000002,1.957904840019481e-05
4.100000000000001,1.561380443676136e-05,4.100000000000001,1.708135968367473e-05,4.100000000000001,1.846396440853247e-05,4.100000000000001,1.905042287014497e-05,4.100000000000001,1.94695068694218e-05,4.100000000000001,1.958487190208398e-05
4.200000000000001,1.564810178473401e-05,4.200000000000001,1.710851412878386e-05,4.200000000000001,1.847956534445594e-05,4.200000000000001,1.906115768224627e-05,4.200000000000001,1.947738948292222e-05,4.200000000000001,1.959069460540585e-05
4.300000000000001,1.56824037911485e-05,4.300000000000001,1.713567195279569e-05,4.300000000000001,1.849516383319039e-05,4.300000000000001,1.907189004092421e-05,4.300000000000001,1.948527095670411e-05,4.300000000000001,1.959651658720045e-05
4.4,1.571671254183165e-05,4.4,1.716283432177533e-05,4.4,1.851076036695114e-05,4.4,1.908262018419242e-05,4.4,1.949315138972237e-05,4.4,1.960233791527035e-05
4.5,1.575102992488254e-05,4.5,1.719000229023024e-05,4.5,1.852635538972897e-05,4.5,1.909334832591294e-05,4.5,1.950103087002332e-05,4.5,1.960815864949066e-05
4.6,1.578535765352419e-05,4.6,1.721717681414731e-05,4.6,1.854194930305766e-05,4.6,1.910407465878027e-05,4.6,1.950890947619004e-05,4.6,1.961397884290648e-05
4.699999999999999,1.581969728585727e-05,4.699999999999999,1.724435876224278e-05,4.699999999999999,1.85575424709729e-05,4.699999999999999,1.911479935687428e-05,4.699999999999999,1.951678727856575e-05,4.699999999999999,1.961979854265598e-05
4.799999999999999,1.585405024199519e-05,4.799999999999999,1.727154892570504e-05,4.799999999999999,1.857313522429214e-05,4.799999999999999,1.91255225778526e-05,4.799999999999999,1.952466434029418e-05,4.799999999999999,1.962561779075028e-05
4.899999999999999,1.588841781897662e-05,4.899999999999999,1.729874802666022e-05,4.899999999999999,1.858872786432082e-05,4.899999999999999,1.913624446484075e-05,4.899999999999999,1.953254071820723e-05,4.899999999999999,1.963143662473531e-05
5,1.592280120378484e-05,5,1.7325956725552e-05,5,1.860432066607348e-05,5,1.914696514806712e-05,5,1.954041646358594e-05,5,1.96372550782552e-05
