/vd1 X,/vd1 Y,/vd2 X,/vd2 Y,/vd3 X,/vd3 Y,/vd4 X,/vd4 Y,/vs12 X,/vs12 Y,/vs34 X,/vs34 Y
0,3.199911418806688,0,0.2563846614059821,0,0.443802406973978,0,3.024635759057758,0,1.552385860386975e-06,0,0.0002218579184838305
0.1,3.199734858784908,0.1,0.2563846749529198,0.1,0.4440788865867396,0.1,2.97775411393376,0.1,1.56268572103161e-06,0.1,0.0002221633831542076
0.2,3.194737803982673,0.2,0.2563850318479101,0.2,0.450897716555818,0.2,2.856260470612881,0.2,1.83403624714199e-06,0.2,0.000229702440990923
0.3,0.2871909272963343,0.3,0.299976629602708,0.3,0.2882744078093524,0.3,2.780627554226031,0.3,0.03321968077963167,0.3,0.03320340215149151
0.4,0.2797496567473627,0.4,0.3997320340606828,0.4,0.2810483440402116,0.4,2.780166657241419,0.4,0.1097712173041291,0.4,0.1095686944526831
0.5,0.2792506426916624,0.5,0.4990602249939585,0.5,0.2812178447242776,0.5,2.778586962721406,0.5,0.1866760297568373,0.5,0.1859858064553464
0.6,0.2791022716913763,0.6,0.5864235938303721,0.6,0.2915833496939656,0.6,2.755482146450971,0.6,0.2548356657217869,0.6,0.2505730650446586
0.7,0.2790659596893233,0.7,0.6145284577025252,0.7,0.348894957275189,0.7,2.665093096449931,0.7,0.2768579150646361,0.7,0.2756049923501094
0.7999999999999999,0.2790628584945474,0.7999999999999999,0.6170318980935189,0.7999999999999999,0.4434845755919644,0.7999999999999999,2.54493932416873,0.7999999999999999,0.2788217361158433,0.7999999999999999,0.2785390205580368
0.8999999999999999,0.2790625627433535,0.8999999999999999,0.617271486938477,0.8999999999999999,0.5434543337651595,0.8999999999999999,2.413718100597186,0.8999999999999999,0.27900970078615,0.8999999999999999,0.2789161794888659
0.9999999999999999,0.2790625134635668,0.9999999999999999,0.6173114130949339,0.9999999999999999,0.644556993335161,0.9999999999999999,2.259908202230681,0.9999999999999999,0.2790410241626824,0.9999999999999999,0.2790726043135298
1.1,0.2790624995963772,1.1,0.6173226512362882,1.1,0.7468074208844966,1.1,2.09304641881825,1.1,0.279049840922985,1.1,0.2791937218029145
1.2,0.2790624937568112,1.2,0.6173273830791892,1.2,0.8549227004032024,1.2,1.92186156595145,1.2,0.2790535532240835,1.2,0.2793110753078379
1.3,0.2790624906169163,1.3,0.6173299273549306,1.3,0.9811697226132541,1.3,1.749647806245949,1.3,0.2790555492998981,1.3,0.2794430939446974
1.4,0.2790624886676052,1.4,0.6173315068992024,1.4,1.135308075468164,1.4,1.576996336676018,1.4,0.27905678850932,1.4,0.2796013389263103
1.5,0.2790624873428735,1.5,0.61733258034478,1.5,1.322806387578068,1.5,1.403986622850984,1.5,0.2790576306661464,1.5,0.2797919699866903
1.6,0.2790624863857078,1.6,0.6173333559485067,1.6,1.549204041586796,1.6,1.230946252594146,1.6,0.2790582391553228,1.6,0.2800208958539588
1.7,0.2790624856629669,1.7,0.6173339415962468,1.7,1.816099574704919,1.7,1.061990199162034,1.7,0.2790586986171795,1.7,0.2802899440117078
1.8,0.2790624850988439,1.8,0.6173343987136716,1.8,2.060271993259681,1.8,0.9317758001860194,1.8,0.2790590572423627,1.8,0.280535860798872
1.900000000000001,0.2790624846470228,1.900000000000001,0.6173347648320439,1.900000000000001,2.227618276858236,1.900000000000001,0.8537654254726889,1.900000000000001,0.2790593444755017,1.900000000000001,0.2807045838227973
2,0.2790624842776108,2,0.6173350641725921,2,2.353741425761476,2,0.8000421758923691,2,0.2790595793190217,2,0.2808320342730001
2.100000000000001,0.2790624839704572,2.100000000000001,0.6173353130644011,2.100000000000001,2.455284891917977,2.100000000000001,0.759576803522431,2.100000000000001,0.2790597745836777,2.100000000000001,0.280934996369443
2.200000000000001,0.2790624837114835,2.200000000000001,0.617335522915789,2.200000000000001,2.540076873204773,2.200000000000001,0.7275912123332819,2.200000000000001,0.2790599392197106,2.200000000000001,0.281021403174494
2.300000000000001,0.279062483490556,2.300000000000001,0.6173357019375615,2.300000000000001,2.612579593164916,2.300000000000001,0.7014763328403504,2.300000000000001,0.2790600796687936,2.300000000000001,0.2810958159152162
2.400000000000001,0.2790624833001958,2.400000000000001,0.617335856189642,2.400000000000001,2.675601784443003,2.400000000000001,0.6796590981683862,2.400000000000001,0.2790602006851529,2.400000000000001,0.2811611543715873
2.500000000000001,0.2790624831347644,2.500000000000001,0.6173359902419223,2.500000000000001,2.73104651013269,2.500000000000001,0.6611168305539653,2.500000000000001,0.2790603058540391,2.500000000000001,0.2812194581287496
2.600000000000001,0.2790624829899284,2.600000000000001,0.6173361076056341,2.600000000000001,2.780273786105284,2.600000000000001,0.6451466907838003,2.600000000000001,0.2790603979301361,2.600000000000001,0.281272263749722
2.700000000000001,0.2790624828623028,2.700000000000001,0.6173362110230617,2.700000000000001,2.824294775595024,2.700000000000001,0.6312448590736728,2.700000000000001,0.2790604790648659,2.700000000000001,0.2813208180534927
2.800000000000001,0.2790624827492065,2.800000000000001,0.6173363026670776,2.800000000000001,2.863884116846223,2.800000000000001,0.6190380827961671,2.800000000000001,0.2790605509629293,2.800000000000001,0.2813662176585112
2.900000000000001,0.2790624826484874,2.900000000000001,0.6173363842816317,2.900000000000001,2.899648781557234,2.900000000000001,0.6082424478283902,2.900000000000001,0.2790606149925141,2.900000000000001,0.2814095182711059
3.000000000000001,0.2790624825583987,3.000000000000001,0.617336457282581,3.000000000000001,2.932072058791826,3.000000000000001,0.5986373127918174,3.000000000000001,0.2790606722644131,3.000000000000001,0.2814518402242147
